"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Problem: which element is not a common component of biological macromolecules?</b><br /><br />&nbsp;&nbsp;&nbsp;&nbsp;Carbon<br />&nbsp;&nbsp;&nbsp;&nbsp;Nitrogen<br />&nbsp;&nbsp;&nbsp;&nbsp;Oxygen<br />&nbsp;&nbsp;&nbsp;&nbsp;Helium<br />&nbsp;&nbsp;&nbsp;&nbsp;Hydrogen</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Helium</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Which of the following organisms are prokaryotes?</b><br /><br />&nbsp;&nbsp;&nbsp;&nbsp;Yeast<br />&nbsp;&nbsp;&nbsp;&nbsp;Mice<br />&nbsp;&nbsp;&nbsp;&nbsp;Amoebas<br />&nbsp;&nbsp;&nbsp;&nbsp;Humans<br />&nbsp;&nbsp;&nbsp;&nbsp;Bacteria<br>&nbsp;&nbsp;&nbsp;&nbsp;Archaeon</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Bacteria</b><br><span style="" font-weight:600;""><br /></span><br><b>Archaeon</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">A ___ reaction is a chemical reaction in which two molecules combine to form one single molecule, together with the loss of a small molecule. When this small molecule is water, it is known as a ___ reaction.<br /><br /><br /><img src=""pasteAa29aV.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>condensation / dehydration</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ are lipids characterized by a <b>carbon skeleton</b> consisting of <b>four fused rings. </b><br /><br /><img src=""Selection_086.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>steroids</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ (a steroid) is a common <b>component of animal cell membranes</b> and is also the <b>precursor</b> from which other steroids are synthesized.<br /><br /><br /><img src=""Selection_086.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>cholesterol</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ is a collective term for cytosol plus the organelles.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>cytoplasm</b><br /><b><br /></b><br /><img src=""paste1IAAnC.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ fats have a <b>single double bond</b> in their fatty acids while ___ fats, such as trilinolein shown here, have <b>two or more</b>.<br /><b><br /></b><br /><img src=""pastexoe6RS.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>monounsaturated / polyunsaturated</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Substances such as monosaccharides, which <b>have identical molecular formulas but different structural formulas, are known as ___ ___</b><br><span style="" font-weight:600;""><br /></span><br><img src=""pasteamBWM1.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>structural isomers</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The resulting <b>linkage between sugars is called a ___ ___</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>glycosidic bond</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Glycogen is broken back down into glucose when energy is needed (a process called ___)</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>glycogenloysis</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Two monosaccharides can be linked together to form a &quot;double&quot; sugar or ___<br><br /><br>The molecular formula of each of these is:<br /><br /><img src=""pasteVjsp3L.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>disaccharide</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Before starches can enter (or leave) cells, they <b>must be digested.</b> The <b>hydrolysis</b> of starch is done by ___ ezymes<br /><br /><br /><img src=""paste4WZv1l.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>amylases</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Two types of starches are found: ___ consists of linear, <b>unbranched chains</b> of several hundred <b>glucose residues (units) </b>while<b> </b>___ differs in being <b>highly branched</b>.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>amylose / amylopectin</b><br /><br /><b><br /></b><br /><img src=""paste5mmGEW.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">A ___, in general, is composed of three parts: <b>a nitrogen-containing (nitrogenous) base, a five-carbon sugar (a pentose) and one or more phosphate groups</b>.<br /><br /><br /><img src=""pasteVe8SB1.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>nucleotide</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">A&nbsp;&nbsp;___ (nitrogenous base) has one six-membered ring of carbon and nitrogen atoms.<br /><b><br /></b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>pyrimidine</b><br /><b><br /></b><br /><img src=""Selection_095.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ (nitrogenous base) are larger than pyrimidines, with a six-membered ring fused to a five-membered ring.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>purines</b><br /><b><br /></b><br /><img src=""pasteudUp9a.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">In DNA the sugar is ___ while in RNA it is ___</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>deoxyribose / ribose</b><br /><b><br /></b><br /><img src=""paste_TcNP9.png"" /><b><br /></b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ ___ (or ___) are polymers made of monomers (nucleotides), which atomic components are <b>carbon, hydrogen, oxygen, and nitrogen</b>. Thet <b>store and transfer genetic information</b> and are found inside ALL different cell types. <br><br /><br><img src=""pasteuG8muA.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Nucleic acids (polynucleotides)</b><br /><b><br /></b><br /><img src=""paste4xxk5j.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">DNA molecules have two polynucleotides, or “strands,” that spiral around an imaginary axis, forming a ___ ___. The two sugar-phosphate backbones run in opposite 5'&nbsp;&nbsp;and 3' directions from each other; this arrangement is referred to as ___, somewhat like a divided highway. <br /><br /><br /><img src=""pastedAmuth.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>double helix</b><br /><b><br /></b><br /><b>antiparallel</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""paste4oOJz8.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Hydrogen bonds between the hydroxyl groups attached to the carbon atom 3 on one molecule and carbon atom 6 on the adjacent molecule.<br><br /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Is the following a polymer of DNA or RNA? Explain how you can determine this.<br /><br /><br /><img src=""pasteGhSphY.png"" /><br /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; "">This is DNA because the 2’ carbon is lacking a hydroxyl (DNA = deoxyribonucleic acid) and one of the bases is thymine not uracil.<br /><br /><br />[sound:DNAi_building_blocks-sm.mov]</span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>How do the monomers found in DNA differ from the monomers found in RNA? Choose all that apply.<br /></b><br /><br />a) DNA incorporates four different nitrogenous bases, RNA incorporates three different nitrogenous bases.<br />b) Thymidine is found in DNA but not RNA.<br />c) There is a 3’ hydroxyl on the RNA monomer, but not on the DNA monomer.<br />d) There is a 2’ hydroxyl on the RNA monomer, but not on the DNA monomer.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>b, d</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">At the center of the ___ ___ is an asymmetric carbon atom called the <b>alpha carbon</b>. Its four different partners are an <b>amino group</b>, a <b>carboxyl group</b>, a <b>hydrogen atom</b>, and a <b>variable group symbolized by R</b>.<br /><br /><br /><img src=""pasteag7exG.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>amino acid</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">When two amino acids are positioned so that<b> the carboxyl group of one is adjacent to the amino group of the other,</b> they can become <b>joined by a dehydration reaction</b>, with the removal of a water molecule. The resulting covalent bond is called a ___ ___<br /><br /><br />These bonds are formed one at a time, s<b>tarting with the amino acid at the amino end (N-terminus)</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>peptide bond</b><br /><b><br /></b><br /><img src=""pasteNQdvfd.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Polymers of amino acids are called ___while a ___ is a <b>biologically functional</b> molecule that consists of one or more polypeptides, each folded and coiled into a specific three-dimensional structure. Both are mainly composed of <b>carbon, hydrogen, oxygen, and nitrogen</b>, but often also contain other elements and are found inside ALL different cell types.<br /><br /><br /><img src=""pastent3EPX.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>polypeptides / protein</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""pasteEVxp5l.png"" /><br /><br /><br />The ___ model shows how the single polypeptide chain folds and coils to form the functional protein. <br /><br /><br />A ___-___ model shows more clearly the globular shape seen in many proteins.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>ribbon</b><br /><br /><b>space-filling</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The ___ ___ of a protein is a linked series of amino acids with a unique sequence.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>primary structure</b><br /><b><br /></b><br /><img src=""pasteKwRxR8.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Most proteins have <b>segments of their polypeptide chains repeatedly coiled or folded in patterns</b> that contribute to the protein’s overall shape. These coils and folds, collectively <b>referred to as</b> ___ ___, are the result of <b>hydrogen bonds between the repeating constituents of the polypeptide backbone</b> (not the amino acid side chains). <br /><br /><br /><img src=""pastep4Lhkt.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>secondary structure</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">One <b>secondary structure</b> is the ___ ___, a delicate coil held together by <b>hydrogen bonding between every fourth amino acid</b>.<br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>alpha helix</b><br /><b><br /></b><br /><img src=""pastebmVYzy.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The other main type of <b>secondary structure</b> is the ___ ___ ___.&nbsp;&nbsp;In this structure two or more <b>strands of the polypeptide chain lying side by side (called β strands)</b> are <b>connected by hydrogen bonds between parts of the two parallel polypeptide backbones</b>. </span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>beta pleated sheet</b><br /><b><br /></b><br /><img src=""pasteQ2ywP2.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">In a <b>phospholipid, </b>the <b>charges on the phosphate and amino groups</b> (in red) make that <b>portion of the molecule ploar and hydrophilic</b>. The result is an ___ molecule.<br /><br />This kind of lipids are <b>major constituents of cell membranes</b>. These molecules form a <b>phospholipid bilaye</b>r with their hydrophilic (polar) heads facing their aqueous surroundings (e.g., the cytosol) and their hydrophobic (non-polar) tails facing each other.<br /><br /><img src=""pasteuTGqpt.png"" />&nbsp;&nbsp;<img src=""pasteKILgqX.png"" />&nbsp;&nbsp;<img src=""pastegznKvg.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>amphiphilic</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">While secondary structure involves interactions between backbone constituents, ___ ___ is the overall shape of a polypeptide resulting also from<b> interactions between the side chains (R groups)</b> of the various amino acids. <br /><br /><br /><img src=""Selection_169.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>tertiary structure</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Bonds in tertiary structure</b><br /><br />Nonpolar side chains: ___ ___ (end up in clusters at the core of the protein) and <b>van der Waals interactions</b><br /><br />Polar side chains: <b>hydrogen bonds</b><br /><br />Positively and negatively charged side chains: <b>ionic bonds</b><br /><br />Covalent bonds called ___ ___ (-S-S-) may further reinforce the shape of a protein. They form where two <b>cysteine monomers, which have sulfhydryl groups (-SH)</b> on their side chains <b>are brought close together</b> by the folding of the protein.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>hydrophobic interaction</b><br /><b><br /></b><br /><b>disulfide bridges</b><br /><br /><br /><img src=""pastep41fg3.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Some proteins consist of two or more polypeptide chains aggregated into one functional macromolecule. The ___ ___ is the overall protein structure that results from the aggregation of these polypeptide subunits.<br /><br /><br /><img src=""Selection_170.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>quaternary structure</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>How many different functional groups are attached to the alpha carbon of an amino acid?</b><br /><br /><br />&nbsp;&nbsp;&nbsp;&nbsp;1<br />&nbsp;&nbsp;&nbsp;&nbsp;2<br />&nbsp;&nbsp;&nbsp;&nbsp;3<br />&nbsp;&nbsp;&nbsp;&nbsp;4<br />&nbsp;&nbsp;&nbsp;&nbsp;5<br /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>4</b><br><span style="" font-weight:600;""><br /></span><br><img src=""pasteag7exG.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Which of the following can be described as “a localized region of three dimensional structure that is stabilized by hydrogen bonds formed between the amine of one amino acid and the carboxyl of another amino acid” (meaning the backbone and not the side chains)?</b><br><br /><br /><br />&nbsp;&nbsp;&nbsp;&nbsp;primary structure<br />&nbsp;&nbsp;&nbsp;&nbsp;quaternary structure<br />&nbsp;&nbsp;&nbsp;&nbsp;secondary structure<br />&nbsp;&nbsp;&nbsp;&nbsp;tertiary structure<br /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>secondary structure</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>What group of amino acids?</b><br /><b><br /></b><br /><img src=""pasteiFw3Br.png"" /><br /><br /><br />Methionine, Phenylalanine, Tryptophan, Proline, Glycine, Alanine, Valine, Leucine, Isoleucine</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Nonpolar side chains; hydrophobic</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>What group of amino acids?</b><br /><br /><br /><img src=""paste3Sx7jP.png"" /><br><br /><br>Serine, Threonine, Cysteine, Tyrosine, Asparagine, Glutamine</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Polar side chains; hydrophilic</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>What group of amino acids?</b><br /><b><br /></b><br /><img src=""Selection_179.png"" /><br><br /><br>Aspartic acid, Glutamic acid</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Electrically charged side chains; hydrophilic; acidic (negatively charged)</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>What group of amino acids?</b><br /><b><br /></b><br /><br /><img src=""Selection_180.png"" /><b><br /></b><br /><b><br />Lysine, Arginine, Histidine</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Electrically charged side chains; hydrophilic; basic (positively charged)</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>The side chain of serine (polar) can form a hydrogen bond with the side chain of which of the following amino acids? Choose all that apply.</b><br /><b><br /></b><br />&nbsp;&nbsp;&nbsp;&nbsp;isoleucine (non-polar)<br />&nbsp;&nbsp;&nbsp;&nbsp;alanine (non-polar)<br />&nbsp;&nbsp;&nbsp;&nbsp;threonine (polar)<br />&nbsp;&nbsp;&nbsp;&nbsp;asparigine (polar)<br />&nbsp;&nbsp;&nbsp;&nbsp;proline (non-polar)</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>threonine</b><br /><b>asparigine</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">You test enzyme E activity on a large protein substrate. This substrate is not cleaved by enzyme E. You then treat the substrate with <b>DTT (a compound that disrupts disulfide bonds)</b> and test the enzyme E activity again. This time the substrate is cleaved by enzyme E. Why was enzyme E able to cleave the protein substrate only after the substrate was treated with DTT?</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Enzyme E binds and cuts at specific sites</b>. These sites are not present on the exterior of the substrate when the substrate is properly folded. When the disulfide bonds within the substrate protein are disrupted, the 3 dimensional shape is altered, and the protein unfolds. This allows enzyme E access to sites that were previously protected within the substrate protein.</span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>List the strongest type of interaction that occurs between the side chain groups of these amino acids. Choose from covalent bonds, hydrogen bonds, ionic bonds, or van der Waals interactions.</b><br /><br /><br />i) tyrosine, asparagine (polar)<br /><br /><br />ii) cysteine, cysteine (polar)<br /><br /><br />iii) isoleucine, valine (non polar)<br /><br /><br />iv) glutamic acid, lysine (charged)<br /><br /><br />v) glycine, glutamine (non polar + polar)</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""pasteB3H9XZ.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""Selection_201 (2).png"" />&nbsp;&nbsp;<br /><br /><br />Val non polar, Glu charged, Asp charged, Ala non polar<br /><br /><br /><img src=""pasteBdrUOx.png"" /><br /><b><br /></b><br />c) Which substrate would you expect to bind the most tightly to the Resist protein? Explain why you made this choice.<br /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""Selection_202 (1).png"" /><br /><br /><br /><b>Van der Waals Force</b><br /><br /><b>Ionic Bond</b><br /><br /><b>Substrate 3 forms strong ionic interactions at two positions as opposed to one position.</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Level of structure and forces</b><br><span style="" font-weight:600;""><br /></span><br><img src=""Selection_212.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""pasteCyESbT.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ include both sugars and polymers of sugars. They are composed of <b>carbon, hydrogen and oxygen in a 1:2:1 ratio</b> and serve both as <b>fuel and building materials</b>. They are found inside ALL different cell types.<br /><br /><br /><img src=""pastepBwUHv.png"" /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>carbohydrates</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The totality of an organism’s chemical reactions is called ___ </span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>metabolism</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Some metabolic pathways release energy by breaking down complex molecules to simpler compounds. These degradative processes are called ___ pathways, or <b>breakdown pathways.</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>catabolic</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ pathways consume energy to build complicated molecules from simpler ones; they are sometimes called <b>biosynthetic pathways. </b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>anabolic</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ is the capacity to cause change. </span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>energy</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ ___ is a term used by biologists to refer to the potential energy available for release in a chemical reaction.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>chemical energy</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Energy can be associated with the relative motion of objects; this energy is called ___ energy, while ___ energy is energy that matter possesses because of its location or structure.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>kinetic / potential</b><br /><b><br /></b><br /><img src=""pasteVnDKdA.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The study of the energy transformations that occur in a collection of matter is called ___</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>thermodynamics</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The ___ consists of all life on Earth and all the places where life exist.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>biosphere</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">An ___ consists of all the living things in a particular area, along with all the nonliving components of the environment with which life interacts.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>ecosystem</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The entire array of organisms inhabiting a particular ecosystem is called a ___ ___<br><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>biological community</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">A ___ consists of all the individuals of a species living within the bounds of a specified area. </span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>population</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Each ___ is made up of a group of cells that work together, performing a specialized function.<br><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>tissue</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The various functional components present in cells are the ___<br><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>organelles</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">In <b>thermodynamics</b>, the word ___ denote the matter under study; they refer to the rest of the universe—everything outside the system—as the ___</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>system / surroundings</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">An ___<b> system </b>is unable to exchange either energy or matter with its surroundings. In an ___<b> system</b>, energy and matter can be transferred between the system and its surroundings.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>isolated / open</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">According to the ..., the energy of the universe is constant: can be transferred and transformed, but it cannot be created or destroyed. It is also known as the <b>principle of conservation of energy.</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>first law of thermodynamics</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">According to the ...<b> </b>every energy transfer or transformation increases the <b>entropy (randomness, number of ways to arrange something)</b> of the universe.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>second law of thermodynamics</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ ___ is the portion of a system’s energy that can perform work when temperature and pressure are uniform throughout the system, as in a living cell. </span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>free energy (G from Gibbs)</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">Only processes that decrease the system’s free energy and so have a ___ ΔG are spontaneous (energetically favorable and occur without an input of energy), while processes that have a ___ or ___ ΔG are never spontaneous.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>negative</b><br /><b><br /></b><br /><b>positive / zero</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">An exergonic (energy outward) reaction proceeds with a net release of free energy. Because the chemical mixture loses free energy (G decreases), ΔG is ___ for an exergonic reaction.<br /><br /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>negative</b><br /><b><br /></b><br /><img src=""Selection_257.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">An endergonic reaction is one that absorbs free energy from its surroundings. Because this kind of reaction essentially stores free energy in molecules (G increases), ΔG is ___</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>positive</b><br><span style="" font-weight:600;""><br /></span><br><img src=""pasteuMQEkm.png"" /></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">___ contains the <b>sugar ribose</b>, with the <b>nitrogenous base adenine </b>and a chain of <b>three phosphate groups</b> bonded to it. In addition to its role in <b>energy coupling</b>, is also one of the nucleoside triphosphates used to <b>make RNA</b>.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>ATP (adenosine triphosphate)</b><br /><b><br /></b><br /><img src=""pasteYXf2G4.png"" /><br /><b><br /></b><br /><b><br /></b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">A key feature in the way cells manage their energy resources to do this work is ___ ___, the use of an exergonic process to drive an endergonic one, mainly through ATP.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>energy coupling</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; "">The ___ of ATP:<br><br /><br><img src=""Selection_266.png"" /></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>hydrolysis</b><br><span style="" font-weight:600;""><br /></span><br><img src=""paste16Scvh.png"" /><br><span style="" font-weight:600;""><br /></span></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""Selection_269.png"" /><br /><br /><br />(Another class other than phospolipids)</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""Selection_017 (1).png"" /><br /><br />ATP (3 phosphate groups + Adenine) is <b>a building block of RNA </b>(a molecule involved in the transfer of information from DNA to protein). It is also used as <b>energy currency (source) in the cell.</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""Selection_271.png"" /><br><br /><br>In a ___ group (-OH), a&nbsp;&nbsp;hydrogen atom is bonded to an oxygen atom, which in turn is&nbsp;&nbsp;bonded to the carbon skeleton of the organic molecule.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>hydroxyl</b></span></span>"
